tconst,primaryTitle,genres,numVotes,averageRating,startYear,SeriesName
tt0040053,The Ed Sullivan Show,"Comedy,Music",1124,7.8,1948,The Ed Sullivan Show (1948)
tt0041038,The Lone Ranger,Western,2064,7.8,1949,The Lone Ranger (1949)
tt0042111,The George Burns and Gracie Allen Show,Comedy,1181,8.4,1950,The George Burns and Gracie Allen Show (1950)
tt0042114,The Honeymooners,"Comedy,Family",4676,8.6,1955,The Honeymooners (1955)
tt0042116,The Jack Benny Program,Comedy,1231,8.4,1950,The Jack Benny Program (1950)
tt0042168,What's My Line?,"Family,Game-Show",1311,8.6,1950,What's My Line? (1950)
tt0043194,Dragnet,"Crime,Drama,Mystery",1787,7.5,1951,Dragnet (1951)
tt0043208,I Love Lucy,"Comedy,Family",21997,8.4,1951,I Love Lucy (1951)
tt0043224,The Red Skelton Hour,Comedy,1024,8.2,1951,The Red Skelton Hour (1951)
tt0044229,The Abbott and Costello Show,"Comedy,Family,Mystery",1068,8.2,1952,The Abbott and Costello Show (1952)
tt0044230,The Adventures of Ozzie and Harriet,"Comedy,Family",1154,7.4,1952,The Adventures of Ozzie and Harriet (1952)
tt0044231,Adventures of Superman,"Action,Adventure,Crime",3327,7.7,1952,Adventures of Superman (1952)
tt0044265,Guiding Light,"Drama,Romance",1444,6.3,1952,Guiding Light (1952)
tt0044298,Today,"News,Talk-Show",1677,4.7,1952,Today (1952)
tt0046593,The Magical World of Disney,"Adventure,Drama,Family",1650,8.5,1954,The Magical World of Disney (1954)
tt0046600,Father Knows Best,"Comedy,Family",1897,7.4,1954,Father Knows Best (1954)
tt0046617,Lassie,"Adventure,Drama,Family",2868,6.6,1954,Lassie (1954)
tt0047708,Alfred Hitchcock Presents,"Comedy,Crime,Drama",14774,8.5,1955,Alfred Hitchcock Presents (1955)
tt0047718,Captain Kangaroo,Family,1171,8,1955,Captain Kangaroo (1955)
tt0047720,Cheyenne,Western,1374,7.9,1955,Cheyenne (1955)
tt0047736,Gunsmoke,Western,5084,7.9,1955,Gunsmoke (1955)
tt0047763,The Phil Silvers Show,"Comedy,Family",1360,8.4,1955,The Phil Silvers Show (1955)
tt0048845,As the World Turns,"Drama,Romance",1835,6,1956,As the World Turns (1956)
tt0050022,The Gumby Show,"Adventure,Animation,Comedy",1389,7,1956,The Gumby Show (1956)
tt0050025,Have Gun - Will Travel,Western,2322,8.4,1957,Have Gun - Will Travel (1957)
tt0050032,Leave It to Beaver,"Comedy,Family",6735,7.5,1957,Leave It to Beaver (1957)
tt0050037,Maverick,"Comedy,Western",2580,8,1957,Maverick (1957)
tt0050051,Perry Mason,"Crime,Drama,Mystery",5147,8.2,1957,Perry Mason (1957)
tt0050073,Wagon Train,Western,2341,7.4,1957,Wagon Train (1957)
tt0050079,Zorro,"Action,Adventure,Comedy",3120,8.2,1957,Zorro (1957)
tt0051247,77 Sunset Strip,"Action,Crime,Drama",1204,7.7,1958,77 Sunset Strip (1958)
tt0051267,The Donna Reed Show,"Comedy,Family",1346,7.4,1958,The Donna Reed Show (1958)
tt0051283,The Huckleberry Hound Show,"Animation,Comedy,Family",3180,6.6,1958,The Huckleberry Hound Show (1958)
tt0051301,Peter Gunn,"Action,Crime,Drama",1066,8,1958,Peter Gunn (1958)
tt0051308,The Rifleman,"Family,Western",3237,8.3,1958,The Rifleman (1958)
tt0051311,Sea Hunt,"Action,Adventure",1085,7.6,1958,Sea Hunt (1958)
tt0051327,Wanted: Dead or Alive,Western,1932,8.1,1958,Wanted: Dead or Alive (1958)
tt0052442,One Step Beyond,"Drama,Fantasy,Mystery",1265,7.8,1959,One Step Beyond (1959)
tt0052451,Bonanza,Western,7926,7.3,1959,Bonanza (1959)
tt0052461,Dennis the Menace,"Comedy,Family",1815,7.1,1959,Dennis the Menace (1959)
tt0052490,The Many Loves of Dobie Gillis,"Comedy,Family",1473,7.6,1959,The Many Loves of Dobie Gillis (1959)
tt0052504,Rawhide,Western,3176,8,1959,Rawhide (1959)
tt0052507,The Bullwinkle Show,"Animation,Comedy,Family",3523,7.7,1959,The Bullwinkle Show (1959)
tt0052520,The Twilight Zone,"Drama,Fantasy,Horror",71073,9,1959,The Twilight Zone (1959)
tt0052522,The Untouchables,"Action,Crime,Drama",2344,8,1959,The Untouchables (1959)
tt0053479,The Andy Griffith Show,"Comedy,Family",12235,8.3,1960,The Andy Griffith Show (1960)
tt0053488,The Bugs Bunny Show,"Animation,Comedy",31143,8.6,1960,The Bugs Bunny Show (1960)
tt0053494,Coronation Street,"Drama,Romance",4823,5.5,1960,Coronation Street (1960)
tt0053496,Danger Man,"Action,Adventure,Crime",1002,7.9,1960,Danger Man (1960)
tt0053502,The Flintstones,"Adventure,Animation,Comedy",32833,7.5,1960,The Flintstones (1960)
tt0053525,My Three Sons,"Comedy,Family",3076,7,1960,My Three Sons (1960)
tt0053534,Route 66,Adventure,1358,7.7,1960,Route 66 (1960)
tt0053546,Thriller,"Crime,Drama,Horror",1226,8.2,1960,Thriller (1960)
tt0054518,The Avengers,"Action,Comedy,Crime",6772,8.3,1961,The Avengers (1961)
tt0054528,"Car 54, Where Are You?",Comedy,1323,7.7,1961,"Car 54, Where Are You? (1961)"
tt0054533,The Dick Van Dyke Show,"Comedy,Family",8733,8.3,1961,The Dick Van Dyke Show (1961)
tt0054545,Hazel,Comedy,1392,7.2,1961,Hazel (1961)
tt0054557,Mister Ed,"Comedy,Family,Fantasy",3652,7,1958,Mister Ed (1958)
tt0054572,Top Cat,"Animation,Comedy,Crime",6824,7.1,1961,Top Cat (1961)
tt0055657,The Alfred Hitchcock Hour,"Crime,Drama,Horror",3880,8.5,1962,The Alfred Hitchcock Hour (1962)
tt0055662,The Beverly Hillbillies,"Comedy,Family",8027,7.2,1962,The Beverly Hillbillies (1962)
tt0055666,Combat!,"Action,Drama,War",2262,8.4,1962,Combat! (1962)
tt0055683,The Jetsons,"Animation,Comedy,Family",18664,7,1962,The Jetsons (1962)
tt0055686,The Lucy Show,Comedy,2267,7.2,1962,The Lucy Show (1962)
tt0055689,McHale's Navy,"Comedy,War",2432,7.4,1962,McHale's Navy (1962)
tt0055701,The Saint,"Action,Crime,Drama",4556,7.5,1962,The Saint (1962)
tt0055708,The Tonight Show Starring Johnny Carson,"Comedy,Talk-Show",3162,8.4,1962,The Tonight Show Starring Johnny Carson (1962)
