Country,Health Care Index,Health Care Exp. Index
Taiwan,86.71,159.66
South Korea,81.97,149.94
Japan,81.14,148.24
Denmark,80,147.47
France,79.99,146.81
Spain,78.88,145.24
Austria,78.73,144.24
Thailand,77.95,142.04
Australia,77.38,140.97
Finland,75.79,138.01
Netherlands,74.65,136.05
Czech Republic,74.62,136.97
United Kingdom,74.46,136.57
Norway,74.36,135.67
Belgium,74.34,134.81
New Zealand,73.81,133.94
Germany,73.32,133.56
Qatar,73.3,133.07
Israel,73.29,134.31
Estonia,72.67,132.9
Sri Lanka,72.53,131.07
Switzerland,72.44,136.25
Portugal,71.88,130.79
Canada,71.58,131.44
Singapore,70.84,131.52
Ecuador,70.59,126.98
Mexico,70.12,125.71
Turkey,69.8,125.57
Lithuania,69.49,125.61
United States,69.27,127.3
Argentina,69.25,125.67
Sweden,69.23,126.86
Malta,68.81,123.37
Malaysia,68.1,122.52
Guatemala,67.75,121.19
Philippines,67.47,120.67
Colombia,67.24,120.65
India,67.13,120.5
United Arab Emirates,67.04,123.91
Italy,66.59,120.66
Uruguay,66.28,119.62
Hong Kong,66.08,119.75
Iceland,65.92,120.3
Chile,65.44,118.89
Jordan,64.6,116.14
Slovenia,64.58,118.92
China,64.48,115.53
Lebanon,64.38,120.05
South Africa,64.14,115.76
Latvia,62.91,113.01
Croatia,62.68,115.03
Costa Rica,62.42,112.66
Poland,61.01,109.36
Pakistan,60.59,107.33
Indonesia,60.48,107.29
Slovakia,60.02,108.64
Panama,59.93,106.08
Saudi Arabia,59.11,105.18
Belarus,59.04,105.39
Oman,58.15,103.73
Vietnam,57.7,100.69
Russia,57.59,101.55
Tunisia,57.18,100.55
Nepal,56.88,99.67
North Macedonia,56.38,100.54
Brazil,56.29,100.08
Greece,56.21,99.67
Kuwait,56.21,100.47
Peru,56.15,98.5
Puerto Rico,55.73,101.76
Kenya,55.59,98.02
Bulgaria,55.4,98.03
Romania,55.06,96.89
Algeria,54.86,99.61
Trinidad And Tobago,54.73,100.89
Dominican Republic,54.67,95.61
Albania,53.05,92.72
Ukraine,52.33,91.33
Bosnia And Herzegovina,52.26,93.3
Ireland,51.89,94.23
Cyprus,51.75,89.36
Iran,51.7,90.06
Nigeria,51.59,89.88
Serbia,51.27,92.17
Georgia,51.24,88.33
Kazakhstan,50.7,88.95
Hungary,47.8,86.17
Egypt,45.84,78.61
Morocco,45.72,77.88
Azerbaijan,43.18,74.96
Bangladesh,42.8,73.17
Iraq,41.36,70.2
Venezuela,39.66,69.14
