Country,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index
Denmark,192.67,100.88,74.9,80,83,7.45,28.85,21.33,81.8
Switzerland,192.01,119.53,78.4,72.44,122.4,8.68,29.09,22.39,79.24
Finland,190.22,99.93,76.68,75.79,70.29,8.35,29.9,11.55,58.87
Australia,186.21,107.31,58.64,77.38,73.54,7.52,34.73,23.46,92.7
Netherlands,183.67,90.73,72.38,74.65,73.75,7.51,29.43,27.41,87.61
Austria,182.5,82.38,76.27,78.73,70.38,10.88,26.27,22.19,77.3
Iceland,181.75,79.44,76.64,65.92,100.48,6.74,20.1,16.21,68.81
New Zealand,181.02,92.66,59.07,73.81,72.53,8.52,31.1,23.4,95.46
Germany,179.78,102.36,65.19,73.32,65.26,9.38,30.98,29.03,83
Estonia,177.82,71.3,76.86,72.67,50.93,9.06,24.53,19.81,64.28
Sweden,175.95,101.73,52.93,69.23,69.85,9.27,30.49,18.09,73.97
Norway,175.19,88.38,64.57,74.36,101.43,8.77,26.99,20.35,71.37
Slovenia,172.15,66.31,78.93,64.58,53.43,10.49,27.3,24.06,77.56
United States,172.11,109.52,52.8,69.27,71.05,3.52,32.89,36.88,77.54
Spain,169.82,72.03,68.04,78.88,53.77,9.37,29.1,39.99,94.19
Japan,167.99,87.28,79.34,81.14,83.35,13,39.15,39.59,84.79
Oman,167.09,80.97,79.21,58.15,49.28,9.08,22.8,37.74,67.22
Canada,163.47,95.09,60.33,71.58,67.62,7.97,33.87,27.83,50.57
Portugal,162.91,49.43,70.37,71.88,49.52,12.7,30,30.89,97.31
United Kingdom,162.71,91.73,56.29,74.46,67.28,10.09,34.53,40.56,87.62
Qatar,162.29,111.69,88.14,73.3,64.04,5.82,29.72,61.06,36.03
Lithuania,159.42,57.85,66.94,69.49,44.28,10.9,26.08,28.8,67.76
Croatia,159.01,50.42,75.29,62.68,49.7,13.73,29.11,30.46,89.05
United Arab Emirates,156.67,91.58,84.3,67.04,61.98,5.29,36.85,51.15,45.23
Czech Republic,156.24,62.82,74.48,74.62,46.15,15.42,29.65,40.23,77.13
France,153.95,80.36,53.21,79.99,74.14,13.04,34.76,43.56,90.25
Ireland,153.53,80.88,54.57,51.89,75.91,7.49,37.68,33.99,89.13
Belgium,153.47,86.28,56.02,74.34,71.78,6.91,36.15,52.94,85.99
Slovakia,152.53,56.94,70.78,60.02,44.46,10.25,29.11,39.66,78.13
Saudi Arabia,150.56,100,73.82,59.11,48.34,2.79,28.61,65.09,45.98
Latvia,150,52.48,63.05,62.91,47.94,8.85,32.89,33.73,74.7
Israel,149.94,78.09,70.4,73.29,81.15,12.83,35.91,57.25,93.78
Cyprus,147.93,57.41,69.99,51.75,57.93,8.2,23.95,53.55,92.8
Singapore,144.39,88.96,69.43,70.84,81.1,22.31,41.31,33.48,57.45
